Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
F1_TS1,Chrome 68.0.3440.106,,2018-09-19 11:42:58,2018-09-19 11:43:14,15.391s,PASSED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,,2018-09-19 11:42:59,2018-09-19 11:43:12,13.181s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 11:43:00,2018-09-19 11:43:07,7.672s,PASSED
navigateToUrl,Chrome 68.0.3440.106,Navigate to login page,2018-09-19 11:43:07,2018-09-19 11:43:09,2.145s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter username,2018-09-19 11:43:09,2018-09-19 11:43:10,0.273s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter password,2018-09-19 11:43:10,2018-09-19 11:43:10,0.113s,PASSED
click,Chrome 68.0.3440.106,Click on login button,2018-09-19 11:43:10,2018-09-19 11:43:12,2.405s,PASSED
"Statement - actual = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Home/txt_UserPanel), STOP_ON_FAILURE)",Chrome 68.0.3440.106,Get user welcome text,2018-09-19 11:43:12,2018-09-19 11:43:12,0.104s,PASSED
"Statement - expected = ""Welcome, patest01 [Logout]""",Chrome 68.0.3440.106,,2018-09-19 11:43:12,2018-09-19 11:43:12,0.000s,PASSED
verifyMatch,Chrome 68.0.3440.106,Verify the welcome text,2018-09-19 11:43:12,2018-09-19 11:43:12,0.039s,PASSED
